"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","24","0","5","111","Compiling M_InvalidLightmapSettings: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithInstancedStaticMeshes}"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","9","0","9","14","Compiling EmissiveMeshMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","9","0","2","23","Compiling DebugMeshMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","2","0","2","2","Compiling RemoveSurfaceMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","66","0","4","825","Compiling SpeedTreeBillboardMaster: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_TwoSidedFoliage, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=1, Usage={bUsedWithInstancedStaticMeshes}"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","92","0","6","1077","Compiling SpeedTreeMaster: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_TwoSidedFoliage, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=1, Usage={bUsedWithStaticLighting,bUsedWithInstancedStaticMeshes}"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","0","4","4","Compiling M_VolumeRenderSphereTracePP: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","16","653","0","2","34919","Compiling WireframeMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=1, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","16","85","0","3","766","Compiling VertexColorMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithInstancedStaticMeshes,bUsedWithGeometryCollections,bUsedWithGeometryCache}"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","147","0","4","2870","Compiling DefaultMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithMeshParticles,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraSprites,bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","16","2","0","2","2","Compiling M_Emissive_Color: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","16","34","0","6","183","Compiling HairMeshesDefaultMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit|Unknown, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithHairStrands}"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","16","64","0","4","378","Compiling HairCardsDefaultMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit|Unknown, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=1, Usage={bUsedWithHairStrands}"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","16","34","0","7","197","Compiling HairDefaultMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit|Unknown, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithHairStrands}"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","16","34","0","6","82","Compiling HairDebugMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit|Unknown, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithHairStrands}"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","12","0","12","12","Compiling Xray: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/VREditor/TransformGizmo/Main.Main","16","7","0","7","7","Compiling Main: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","7","0","7","7","Compiling TranslucentTransformGizmoMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","2","0","2","2","Compiling TransformGizmoMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","7","0","7","7","Compiling M_SimpleUnlitTranslucent: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","24","0","6","55","Compiling CineMat: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSplineMeshes}"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","16","49","0","52","58","Compiling BaseFlattenMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=1, Usage={bUsedWithStaticLighting}"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","44","0","44","44","Compiling m_SimpleVolumetricCloud: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","6","0","6","6","Compiling DefaultPostProcessMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting}"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","19","0","19","19","Compiling DefaultLightFunctionMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","91","0","91","91","Compiling DefaultDeferredDecalMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes}"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","982","0","1010","1010","Compiling WorldGridMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=1, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","33","0","7","160","Compiling DefaultTextMaterialOpaque: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Masked, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=1, Distorted=0, WritesEveryPixel=0, ModifiesMeshPosition=0, Usage={}"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_Foliage_Master.M_LearningKit_Foliage_Master","16","75","0","2","733","Compiling M_LearningKit_Foliage_Master: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=False, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=False, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=True, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=False, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_Foliage_Master.M_LearningKit_Foliage_Master","16","75","0","4","750","Compiling M_LearningKit_Foliage_Master: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes}"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","99","0","4","1413","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=False, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=False, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=False, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=False, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","99","0","4","1272","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=True, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=False, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=True, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=False, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","99","0","3","1386","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=True, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=False, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=False, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=False, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","99","0","2","1378","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=False, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=True, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=True, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=True, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","159","0","5","3211","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=True, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=True, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=True, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=True, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","99","0","1","1350","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","16","99","0","5","1907","Compiling M_LearningKit_MasterMaterial: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithStaticLighting,bUsedWithSplineMeshes,bUsedWithInstancedStaticMeshes,bUsedWithNiagaraMeshParticles}, StaticSwitch'AO_ON2-1'=True, StaticSwitch'Color_Tint_Mask_ON2-1'=True, StaticSwitch'Emissive_Mask_Use_BaseColorAlpha_ON2-1'=False, StaticSwitch'Emissive_NoiseAnimated_ON2-1'=True, StaticSwitch'Emissive_ON2-1'=True, StaticSwitch'Emissive_Use_BaseColor_ON2-1'=True, StaticSwitch'Fresnel_ON2-1'=False, StaticSwitch'Metal_ON2-1'=True, StaticSwitch'Normal_ON2-1'=False, StaticSwitch'Opacity_Use_BaseColor_Alpha_ON2-1'=False, StaticSwitch'Roughness_ON2-1'=True, StaticSwitch'WorldSpace_Variation_ON2-1'=False, StaticMask'Emissive_Mask_Channel2-1'=R"
"/Game/LearningKit_Games/Assets/VFX/Pollen/M_vfx_aura.M_vfx_aura","16","49","0","1","291","Compiling M_vfx_aura: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithNiagaraSprites}, StaticSwitch'Camera_Fade_Switch2-1'=True"
"/Game/LearningKit_Games/Assets/VFX/Pollen/M_vfx_aura.M_vfx_aura","16","49","0","4","314","Compiling M_vfx_aura: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh,bUsedWithParticleSprites,bUsedWithBeamTrails,bUsedWithNiagaraSprites}"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","16","4","0","4","6","Compiling PPM_DefaultCalibrationGrayscale: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","16","4","0","4","4","Compiling PPM_DefaultCalibrationColor: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"","16","1","7","0","0",""
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","16","7","0","8","14","Compiling M_SkyTimeOfDay: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
